system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2145339207,https://doi.org/10.1038/nature14236,Human-level control through deep reinforcement learning,Nature,2015.0,article,Nature,Volodymyr Mnih; Koray Kavukcuoglu; David Silver; Andrei A. Rusu; Joel Veness; Marc G. Bellemare; Alex Graves; Martin Riedmiller; Andreas Fidjeland; Georg Ostrovski; Stig Petersen; Charles Beattie; Amir Sadik; Ioannis Antonoglou; Helen King; Dharshan Kumaran; Daan Wierstra; Shane Legg; Demis Hassabis,Google (United Kingdom); DeepMind (United Kingdom),38.0,29356.0,585.6364,1.0,Neural dynamics and brain function,Cognitive Neuroscience,Neuroscience,Life Sciences,False,closed,journal,False,English,GB,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W1757796397,https://doi.org/10.48550/arxiv.1312.5602,Playing Atari with Deep Reinforcement Learning,Cornell University,2013.0,preprint,arXiv,Volodymyr Mnih; Koray Kavukcuoglu; David Silver; Alex Graves; Ioannis Antonoglou; Daan Wierstra; Martin Riedmiller,null/unknown,29.0,5121.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,null/unknown,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2257979135,https://doi.org/10.1038/nature16961,Mastering the game of Go with deep neural networks and tree search,Nature,2016.0,article,Nature,David Silver; Aja Huang; Chris J. Maddison; Arthur Guez; Laurent Sifre; George van den Driessche; Julian Schrittwieser; Ioannis Antonoglou; Veda Panneershelvam; Marc Lanctot; Sander Dieleman; Dominik Grewe; John Nham; Nal Kalchbrenner; Ilya Sutskever; Timothy Lillicrap; Madeleine Leach; Koray Kavukcuoglu; Thore Graepel; Demis Hassabis,Google (United Kingdom); DeepMind (United Kingdom); Google (United States),66.0,15640.0,2219.9277,1.0,Artificial Intelligence in Games,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,GB; US,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2772709170,https://doi.org/10.48550/arxiv.1712.01815,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,Cornell University,2017.0,preprint,arXiv,David Silver; Thomas Hubert; Julian Schrittwieser; Ioannis Antonoglou; Matthew Lai; Arthur Guez; Marc Lanctot; Laurent Sifre; Dharshan Kumaran; Thore Graepel; Timothy Lillicrap; Karen Simonyan; Demis Hassabis,null/unknown,23.0,1079.0,null/unknown,null/unknown,Artificial Intelligence in Games,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,null/unknown,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2902907165,https://doi.org/10.1126/science.aar6404,"A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play",American Association for the Advancement of Science,2018.0,article,Science,David Silver; Thomas Hubert; Julian Schrittwieser; Ioannis Antonoglou; Matthew Lai; Arthur Guez; Marc Lanctot; Laurent Sifre; Dharshan Kumaran; Thore Graepel; Timothy Lillicrap; Karen Simonyan; Demis Hassabis,Google DeepMind (United Kingdom); University College London,31.0,3471.0,229.0095,0.99994043,Artificial Intelligence in Games,Artificial Intelligence,Computer Science,Physical Sciences,True,green,journal,False,English,GB,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W3118210634,null/unknown,"Mastering Atari, Go, chess and shogi by planning with a learned model",Federal Reserve Bank of St. Louis,null/unknown,article,RePEc: Research Papers in Economics,Julian Schrittwieser; Ioannis Antonoglou; Thomas Hubert; Karen Simonyan; Laurent Sifre; Simon Schmitt; Arthur Guez; Edward Lockhart; Demis Hassabis; Thore Graepel; Timothy Lillicrap; David Silver,Google DeepMind (United Kingdom); University College London,76.0,1376.0,null/unknown,null/unknown,Artificial Intelligence in Games,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,repository,False,null/unknown,GB,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2914484425,null/unknown,Efficient BackProp,null/unknown,1998.0,article,Neural Information Processing Systems,Yann LeCun; Léon Bottou; Genevieve Orr; Klaus‐Robert Müller,null/unknown,0.0,1413.0,9.2336,0.98031496,Robotic Mechanisms and Dynamics,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,conference,False,English,null/unknown,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2100677568,https://doi.org/10.1023/a:1022633531479,Learning to Predict by the Methods of Temporal Differences,Springer,1988.0,article,Machine Learning,Richard S. Sutton,null/unknown,50.0,3928.0,60.579,0.99922444,Evolutionary Algorithms and Applications,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,null/unknown,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2594103415,https://doi.org/10.48550/arxiv.1702.08165,Reinforcement Learning with Deep Energy-Based Policies,Cornell University,2017.0,article,arXiv,Tuomas Haarnoja; Haoran Tang; Pieter Abbeel; Sergey Levine,"University of California, Berkeley; International Computer Science Institute; OpenAI (United States)",40.0,434.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,US,False
DeepSeek,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W1771410628,https://doi.org/10.48550/arxiv.1502.05477,Trust Region Policy Optimization,Cornell University,2015.0,article,arXiv,John Schulman; Sergey Levine; Philipp Moritz; Michael I. Jordan; Pieter Abbeel,"University of California, Berkeley",32.0,3131.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,US,False
